date,product,opening_stock,units_produced,units_dispatched,closing_stock,lost_demand,stockout_flag
2025-01-14,Chocolate Shake,0,98,81,17,0,No
2025-01-14,Banana Shake,0,56,56,0,13,Yes
2025-01-15,Vanilla Shake,0,116,116,0,11,Yes
2025-01-15,Chocolate Shake,17,105,105,17,0,No
2025-01-15,Banana Shake,0,60,57,3,0,No
2025-01-16,Vanilla Shake,0,105,105,0,17,Yes
2025-01-16,Chocolate Shake,17,12,29,0,83,Yes
2025-01-16,Banana Shake,3,55,58,0,11,Yes
2025-01-17,Vanilla Shake,0,109,109,0,16,Yes
2025-01-17,Chocolate Shake,0,106,104,2,0,No
2025-01-17,Banana Shake,0,65,65,0,10,Yes
2025-01-18,Vanilla Shake,0,124,111,13,0,No
2025-01-18,Chocolate Shake,2,101,85,18,0,No
2025-01-18,Banana Shake,0,61,61,0,15,Yes
2025-01-19,Vanilla Shake,13,103,109,7,0,No
2025-01-19,Chocolate Shake,18,101,95,24,0,No
2025-01-19,Banana Shake,0,59,59,0,2,Yes
2025-01-20,Vanilla Shake,7,121,117,11,0,No
2025-01-20,Chocolate Shake,24,96,108,12,0,No
2025-01-20,Banana Shake,0,6,6,0,62,Yes
2025-01-21,Vanilla Shake,11,114,125,0,1,Yes
2025-01-21,Chocolate Shake,12,94,106,0,9,Yes
2025-01-21,Banana Shake,0,62,56,6,0,No
2025-01-22,Vanilla Shake,0,3,3,0,103,Yes
2025-01-22,Chocolate Shake,0,108,108,0,3,Yes
2025-01-22,Banana Shake,6,17,23,0,54,Yes
2025-01-23,Vanilla Shake,0,107,107,0,1,Yes
2025-01-23,Chocolate Shake,0,103,103,0,15,Yes
2025-01-23,Banana Shake,0,4,4,0,70,Yes
2025-01-24,Vanilla Shake,0,110,103,7,0,No
2025-01-24,Chocolate Shake,0,25,25,0,79,Yes
2025-01-24,Banana Shake,0,55,52,3,0,No
2025-01-25,Vanilla Shake,7,109,116,0,14,Yes
2025-01-25,Chocolate Shake,0,109,109,0,3,Yes
2025-01-25,Banana Shake,3,4,7,0,45,Yes
2025-01-26,Vanilla Shake,0,107,107,0,0,Yes
2025-01-26,Chocolate Shake,0,98,86,12,0,No
2025-01-26,Banana Shake,0,12,12,0,59,Yes
2025-01-27,Vanilla Shake,0,109,109,0,4,Yes
2025-01-27,Chocolate Shake,12,90,102,0,13,Yes
2025-01-27,Banana Shake,0,66,66,0,5,Yes
2025-01-28,Vanilla Shake,0,111,111,0,22,Yes
2025-01-28,Chocolate Shake,0,13,13,0,103,Yes
2025-01-28,Banana Shake,0,55,55,0,5,Yes
2025-01-29,Vanilla Shake,0,7,7,0,115,Yes
2025-01-29,Chocolate Shake,0,108,107,1,0,No
2025-01-29,Banana Shake,0,66,63,3,0,No
2025-01-30,Vanilla Shake,0,106,106,0,34,Yes
2025-01-30,Chocolate Shake,1,107,108,0,1,Yes
2025-01-30,Banana Shake,3,2,5,0,61,Yes
2025-01-31,Vanilla Shake,0,114,111,3,0,No
2025-01-31,Chocolate Shake,0,104,101,3,0,No
2025-01-31,Banana Shake,0,59,59,0,9,Yes
2025-02-01,Vanilla Shake,3,11,14,0,107,Yes
2025-02-01,Chocolate Shake,3,103,81,25,0,No
2025-02-01,Banana Shake,0,59,58,1,0,No
2025-02-02,Vanilla Shake,0,26,26,0,78,Yes
2025-02-02,Chocolate Shake,25,97,113,9,0,No
2025-02-02,Banana Shake,1,63,59,5,0,No
2025-02-03,Vanilla Shake,0,0,0,0,132,Yes
2025-02-03,Chocolate Shake,9,107,116,0,1,Yes
2025-02-03,Banana Shake,5,7,12,0,63,Yes
2025-02-04,Vanilla Shake,0,15,15,0,128,Yes
2025-02-04,Chocolate Shake,0,5,5,0,93,Yes
2025-02-04,Banana Shake,0,65,65,0,1,Yes
2025-02-05,Vanilla Shake,0,123,110,13,0,No
2025-02-05,Chocolate Shake,0,102,102,0,9,Yes
2025-02-05,Banana Shake,0,64,64,0,7,Yes
2025-02-06,Vanilla Shake,13,120,121,12,0,No
2025-02-06,Chocolate Shake,0,95,95,0,22,Yes
2025-02-06,Banana Shake,0,58,58,0,13,Yes
2025-02-07,Vanilla Shake,12,108,110,10,0,No
2025-02-07,Chocolate Shake,0,94,94,0,6,Yes
2025-02-07,Banana Shake,0,58,58,0,4,Yes
2025-02-08,Vanilla Shake,10,120,130,0,13,Yes
2025-02-08,Chocolate Shake,0,24,24,0,64,Yes
2025-02-08,Banana Shake,0,62,62,0,14,Yes
2025-02-09,Vanilla Shake,0,124,101,23,0,No
2025-02-09,Chocolate Shake,0,93,93,0,22,Yes
2025-02-09,Banana Shake,0,55,55,0,10,Yes
2025-02-10,Vanilla Shake,23,103,126,0,4,Yes
2025-02-10,Chocolate Shake,0,109,88,21,0,No
2025-02-10,Banana Shake,0,3,3,0,51,Yes
2025-02-11,Vanilla Shake,0,122,122,0,8,Yes
2025-02-11,Chocolate Shake,21,3,24,0,84,Yes
2025-02-11,Banana Shake,0,4,4,0,66,Yes
2025-02-12,Vanilla Shake,0,105,101,4,0,No
2025-02-12,Chocolate Shake,0,15,15,0,83,Yes
2025-02-12,Banana Shake,0,61,61,0,7,Yes
2025-02-13,Vanilla Shake,4,120,110,14,0,No
2025-02-13,Chocolate Shake,0,96,81,15,0,No
2025-02-13,Banana Shake,0,64,61,3,0,No
2025-02-14,Vanilla Shake,14,116,130,0,3,Yes
2025-02-14,Chocolate Shake,15,19,34,0,66,Yes
2025-02-14,Banana Shake,3,61,64,0,6,Yes
2025-02-15,Vanilla Shake,0,20,20,0,94,Yes
2025-02-15,Chocolate Shake,0,95,95,0,19,Yes
2025-02-15,Banana Shake,0,55,55,0,19,Yes
2025-02-16,Vanilla Shake,0,17,17,0,85,Yes
2025-02-16,Chocolate Shake,0,106,106,0,0,Yes
2025-02-16,Banana Shake,0,64,58,6,0,No
2025-02-17,Vanilla Shake,0,115,115,0,0,Yes
2025-02-17,Chocolate Shake,0,96,91,5,0,No
2025-02-17,Banana Shake,6,61,67,0,10,Yes
2025-02-18,Vanilla Shake,0,124,113,11,0,No
2025-02-18,Chocolate Shake,5,17,22,0,89,Yes
2025-02-18,Banana Shake,0,65,64,1,0,No
2025-02-19,Vanilla Shake,11,111,122,0,12,Yes
2025-02-19,Chocolate Shake,0,90,90,0,15,Yes
2025-02-19,Banana Shake,1,63,64,0,7,Yes
2025-02-20,Vanilla Shake,0,102,102,0,11,Yes
2025-02-20,Chocolate Shake,0,15,15,0,80,Yes
2025-02-20,Banana Shake,0,62,57,5,0,No
2025-02-21,Vanilla Shake,0,117,117,0,11,Yes
2025-02-21,Chocolate Shake,0,95,95,0,18,Yes
2025-02-21,Banana Shake,5,2,7,0,46,Yes
2025-02-22,Vanilla Shake,0,122,122,0,21,Yes
2025-02-22,Chocolate Shake,0,91,87,4,0,No
2025-02-22,Banana Shake,0,58,58,0,10,Yes
2025-02-23,Vanilla Shake,0,116,100,16,0,No
2025-02-23,Chocolate Shake,4,100,98,6,0,No
2025-02-23,Banana Shake,0,56,56,0,13,Yes
2025-02-24,Vanilla Shake,16,120,128,8,0,No
2025-02-24,Chocolate Shake,6,104,81,29,0,No
2025-02-24,Banana Shake,0,60,55,5,0,No
2025-02-25,Vanilla Shake,8,104,112,0,17,Yes
2025-02-25,Chocolate Shake,29,104,99,34,0,No
2025-02-25,Banana Shake,5,3,8,0,53,Yes
2025-02-26,Vanilla Shake,0,21,21,0,108,Yes
2025-02-26,Chocolate Shake,34,96,117,13,0,No
2025-02-26,Banana Shake,0,6,6,0,70,Yes
2025-02-27,Vanilla Shake,0,115,115,0,11,Yes
2025-02-27,Chocolate Shake,13,104,91,26,0,No
2025-02-27,Banana Shake,0,60,60,0,6,Yes
2025-02-28,Vanilla Shake,0,116,111,5,0,No
2025-02-28,Chocolate Shake,26,98,98,26,0,No
2025-02-28,Banana Shake,0,5,5,0,51,Yes
2025-03-01,Vanilla Shake,5,28,33,0,75,Yes
2025-03-01,Chocolate Shake,26,103,99,30,0,No
2025-03-01,Banana Shake,0,58,58,0,8,Yes
2025-03-02,Vanilla Shake,0,102,102,0,29,Yes
2025-03-02,Chocolate Shake,30,89,119,0,0,Yes
2025-03-02,Banana Shake,0,63,63,0,9,Yes
2025-03-03,Vanilla Shake,0,113,113,0,26,Yes
2025-03-03,Chocolate Shake,0,102,102,0,12,Yes
2025-03-03,Banana Shake,0,59,58,1,0,No
2025-03-04,Vanilla Shake,0,120,110,10,0,No
2025-03-04,Chocolate Shake,0,95,82,13,0,No
2025-03-04,Banana Shake,1,65,66,0,5,Yes
2025-03-05,Vanilla Shake,10,123,112,21,0,No
2025-03-05,Chocolate Shake,13,100,98,15,0,No
2025-03-05,Banana Shake,0,59,59,0,2,Yes
2025-03-06,Vanilla Shake,21,107,103,25,0,No
2025-03-06,Chocolate Shake,15,92,106,1,0,No
2025-03-06,Banana Shake,0,63,63,0,8,Yes
2025-03-07,Vanilla Shake,25,104,129,0,13,Yes
2025-03-07,Chocolate Shake,1,96,89,8,0,No
2025-03-07,Banana Shake,0,16,16,0,57,Yes
2025-03-08,Vanilla Shake,0,116,116,0,26,Yes
2025-03-08,Chocolate Shake,8,94,102,0,6,Yes
2025-03-08,Banana Shake,0,11,11,0,56,Yes
2025-03-09,Vanilla Shake,0,117,106,11,0,No
2025-03-09,Chocolate Shake,0,107,107,0,7,Yes
2025-03-09,Banana Shake,0,6,6,0,69,Yes
2025-03-10,Vanilla Shake,11,114,123,2,0,No
2025-03-10,Chocolate Shake,0,95,84,11,0,No
2025-03-10,Banana Shake,0,55,54,1,0,No
2025-03-11,Vanilla Shake,2,103,105,0,20,Yes
2025-03-11,Chocolate Shake,11,90,101,0,1,Yes
2025-03-11,Banana Shake,1,1,2,0,57,Yes
2025-03-12,Vanilla Shake,0,115,115,0,29,Yes
2025-03-12,Chocolate Shake,0,25,25,0,72,Yes
2025-03-12,Banana Shake,0,61,61,0,0,Yes
2025-03-13,Vanilla Shake,0,108,102,6,0,No
2025-03-13,Chocolate Shake,0,100,100,0,1,Yes
2025-03-13,Banana Shake,0,66,66,0,8,Yes
2025-03-14,Vanilla Shake,6,114,111,9,0,No
2025-03-14,Chocolate Shake,0,89,82,7,0,No
2025-03-14,Banana Shake,0,66,66,0,3,Yes
2025-03-15,Vanilla Shake,9,108,117,0,18,Yes
2025-03-15,Chocolate Shake,7,102,106,3,0,No
2025-03-15,Banana Shake,0,59,59,0,19,Yes
2025-03-16,Vanilla Shake,0,102,102,0,20,Yes
2025-03-16,Chocolate Shake,3,108,111,0,7,Yes
2025-03-16,Banana Shake,0,63,57,6,0,No
2025-03-17,Vanilla Shake,0,108,108,0,2,Yes
2025-03-17,Chocolate Shake,0,95,92,3,0,No
2025-03-17,Banana Shake,6,61,67,0,8,Yes
2025-03-18,Vanilla Shake,0,102,102,0,6,Yes
2025-03-18,Chocolate Shake,3,89,92,0,26,Yes
2025-03-18,Banana Shake,0,58,58,0,12,Yes
2025-03-19,Vanilla Shake,0,112,112,0,3,Yes
2025-03-19,Chocolate Shake,0,108,81,27,0,No
2025-03-19,Banana Shake,0,67,59,8,0,No
2025-03-20,Vanilla Shake,0,122,99,23,0,No
2025-03-20,Chocolate Shake,27,89,87,29,0,No
2025-03-20,Banana Shake,8,58,66,0,0,Yes
2025-03-21,Vanilla Shake,23,117,117,23,0,No
2025-03-21,Chocolate Shake,29,98,107,20,0,No
2025-03-21,Banana Shake,0,67,60,7,0,No
2025-03-22,Vanilla Shake,23,105,128,0,9,Yes
2025-03-22,Chocolate Shake,20,90,82,28,0,No
2025-03-22,Banana Shake,7,65,72,0,2,Yes
2025-03-23,Vanilla Shake,0,109,109,0,23,Yes
2025-03-23,Chocolate Shake,28,107,94,41,0,No
2025-03-23,Banana Shake,0,61,59,2,0,No
2025-03-24,Vanilla Shake,0,119,119,0,13,Yes
2025-03-24,Chocolate Shake,41,98,105,34,0,No
2025-03-24,Banana Shake,2,57,59,0,1,Yes
2025-03-25,Vanilla Shake,0,111,111,0,13,Yes
2025-03-25,Chocolate Shake,34,90,86,38,0,No
2025-03-25,Banana Shake,0,58,58,0,0,Yes
2025-03-26,Vanilla Shake,0,102,102,0,42,Yes
2025-03-26,Chocolate Shake,38,21,59,0,38,Yes
2025-03-26,Banana Shake,0,64,64,0,3,Yes
2025-03-27,Vanilla Shake,0,8,8,0,112,Yes
2025-03-27,Chocolate Shake,0,90,90,0,4,Yes
2025-03-27,Banana Shake,0,62,62,0,13,Yes
2025-03-28,Vanilla Shake,0,110,110,0,24,Yes
2025-03-28,Chocolate Shake,0,96,96,0,23,Yes
2025-03-28,Banana Shake,0,12,12,0,62,Yes
2025-03-29,Vanilla Shake,0,18,18,0,126,Yes
2025-03-29,Chocolate Shake,0,101,95,6,0,No
2025-03-29,Banana Shake,0,59,59,0,8,Yes
2025-03-30,Vanilla Shake,0,119,113,6,0,No
2025-03-30,Chocolate Shake,6,7,13,0,69,Yes
2025-03-30,Banana Shake,0,12,12,0,61,Yes
2025-03-31,Vanilla Shake,6,109,101,14,0,No
2025-03-31,Chocolate Shake,0,90,87,3,0,No
2025-03-31,Banana Shake,0,62,62,0,13,Yes
2025-04-01,Vanilla Shake,14,18,32,0,91,Yes
2025-04-01,Chocolate Shake,3,24,27,0,93,Yes
2025-04-01,Banana Shake,0,58,58,0,1,Yes
2025-04-02,Vanilla Shake,0,8,8,0,122,Yes
2025-04-02,Chocolate Shake,0,28,28,0,87,Yes
2025-04-02,Banana Shake,0,63,63,0,13,Yes
2025-04-03,Vanilla Shake,0,103,103,0,4,Yes
2025-04-03,Chocolate Shake,0,11,11,0,87,Yes
2025-04-03,Banana Shake,0,66,66,0,1,Yes
2025-04-04,Vanilla Shake,0,124,111,13,0,No
2025-04-04,Chocolate Shake,0,94,93,1,0,No
2025-04-04,Banana Shake,0,59,59,0,16,Yes
2025-04-05,Vanilla Shake,13,16,29,0,100,Yes
2025-04-05,Chocolate Shake,1,105,106,0,14,Yes
2025-04-05,Banana Shake,0,5,5,0,58,Yes
2025-04-06,Vanilla Shake,0,13,13,0,131,Yes
2025-04-06,Chocolate Shake,0,103,103,0,0,Yes
2025-04-06,Banana Shake,0,10,10,0,46,Yes
2025-04-07,Vanilla Shake,0,17,17,0,119,Yes
2025-04-07,Chocolate Shake,0,99,99,0,19,Yes
2025-04-07,Banana Shake,0,15,15,0,62,Yes
2025-04-08,Vanilla Shake,0,103,103,0,25,Yes
2025-04-08,Chocolate Shake,0,105,99,6,0,No
2025-04-08,Banana Shake,0,56,56,0,3,Yes
2025-04-09,Vanilla Shake,0,113,98,15,0,No
2025-04-09,Chocolate Shake,6,102,87,21,0,No
2025-04-09,Banana Shake,0,61,61,0,6,Yes
2025-04-10,Vanilla Shake,15,121,99,37,0,No
2025-04-10,Chocolate Shake,21,90,111,0,1,Yes
2025-04-10,Banana Shake,0,63,56,7,0,No
2025-04-11,Vanilla Shake,37,8,45,0,93,Yes
2025-04-11,Chocolate Shake,0,98,96,2,0,No
2025-04-11,Banana Shake,7,57,64,0,5,Yes
2025-04-12,Vanilla Shake,0,26,26,0,78,Yes
2025-04-12,Chocolate Shake,2,107,91,18,0,No
2025-04-12,Banana Shake,0,57,57,0,4,Yes
2025-04-13,Vanilla Shake,0,115,105,10,0,No
2025-04-13,Chocolate Shake,18,100,98,20,0,No
2025-04-13,Banana Shake,0,59,56,3,0,No
2025-04-14,Vanilla Shake,10,103,113,0,4,Yes
2025-04-14,Chocolate Shake,20,99,84,35,0,No
2025-04-14,Banana Shake,3,65,56,12,0,No
2025-04-15,Vanilla Shake,0,116,101,15,0,No
2025-04-15,Chocolate Shake,35,106,92,49,0,No
2025-04-15,Banana Shake,12,10,22,0,48,Yes
2025-04-16,Vanilla Shake,15,112,96,31,0,No
2025-04-16,Chocolate Shake,49,104,82,71,0,No
2025-04-16,Banana Shake,0,55,55,0,21,Yes
2025-04-17,Vanilla Shake,31,104,135,0,6,Yes
2025-04-17,Chocolate Shake,71,91,100,62,0,No
2025-04-17,Banana Shake,0,63,63,0,2,Yes
2025-04-18,Vanilla Shake,0,112,112,0,29,Yes
2025-04-18,Chocolate Shake,62,20,82,0,9,Yes
2025-04-18,Banana Shake,0,60,60,0,3,Yes
2025-04-19,Vanilla Shake,0,110,109,1,0,No
2025-04-19,Chocolate Shake,0,105,105,0,12,Yes
2025-04-19,Banana Shake,0,59,59,0,6,Yes
2025-04-20,Vanilla Shake,1,109,106,4,0,No
2025-04-20,Chocolate Shake,0,95,95,0,7,Yes
2025-04-20,Banana Shake,0,57,57,0,17,Yes
2025-04-21,Vanilla Shake,4,105,109,0,29,Yes
2025-04-21,Chocolate Shake,0,8,8,0,74,Yes
2025-04-21,Banana Shake,0,56,56,0,21,Yes
2025-04-22,Vanilla Shake,0,115,115,0,11,Yes
2025-04-22,Chocolate Shake,0,90,90,0,4,Yes
2025-04-22,Banana Shake,0,57,57,0,7,Yes
2025-04-23,Vanilla Shake,0,114,107,7,0,No
2025-04-23,Chocolate Shake,0,97,97,0,21,Yes
2025-04-23,Banana Shake,0,4,4,0,48,Yes
2025-04-24,Vanilla Shake,7,119,126,0,9,Yes
2025-04-24,Chocolate Shake,0,91,91,0,24,Yes
2025-04-24,Banana Shake,0,63,63,0,3,Yes
2025-04-25,Vanilla Shake,0,24,24,0,111,Yes
2025-04-25,Chocolate Shake,0,92,92,0,24,Yes
2025-04-25,Banana Shake,0,59,59,0,11,Yes
2025-04-26,Vanilla Shake,0,118,106,12,0,No
2025-04-26,Chocolate Shake,0,90,90,0,7,Yes
2025-04-26,Banana Shake,0,59,59,0,12,Yes
2025-04-27,Vanilla Shake,12,121,133,0,10,Yes
2025-04-27,Chocolate Shake,0,100,100,0,0,Yes
2025-04-27,Banana Shake,0,66,66,0,5,Yes
2025-04-28,Vanilla Shake,0,102,102,0,19,Yes
2025-04-28,Chocolate Shake,0,92,92,0,2,Yes
2025-04-28,Banana Shake,0,16,16,0,60,Yes
2025-04-29,Vanilla Shake,0,113,113,0,19,Yes
2025-04-29,Chocolate Shake,0,3,3,0,82,Yes
2025-04-29,Banana Shake,0,59,58,1,0,No
2025-04-30,Vanilla Shake,0,108,98,10,0,No
2025-04-30,Chocolate Shake,0,97,97,0,18,Yes
2025-04-30,Banana Shake,1,58,59,0,8,Yes
2025-05-01,Vanilla Shake,10,9,19,0,87,Yes
2025-05-01,Chocolate Shake,0,92,92,0,5,Yes
2025-05-01,Banana Shake,0,67,67,0,5,Yes
2025-05-02,Vanilla Shake,0,123,108,15,0,No
2025-05-02,Chocolate Shake,0,91,91,0,23,Yes
2025-05-02,Banana Shake,0,63,57,6,0,No
2025-05-03,Vanilla Shake,15,16,31,0,83,Yes
2025-05-03,Chocolate Shake,0,105,91,14,0,No
2025-05-03,Banana Shake,6,58,64,0,13,Yes
2025-05-04,Vanilla Shake,0,107,102,5,0,No
2025-05-04,Chocolate Shake,14,92,106,0,2,Yes
2025-05-04,Banana Shake,0,14,14,0,53,Yes
2025-05-05,Vanilla Shake,5,13,18,0,91,Yes
2025-05-05,Chocolate Shake,0,90,90,0,7,Yes
2025-05-05,Banana Shake,0,14,14,0,51,Yes
2025-05-06,Vanilla Shake,0,121,106,15,0,No
2025-05-06,Chocolate Shake,0,106,81,25,0,No
2025-05-06,Banana Shake,0,55,55,0,10,Yes
2025-05-07,Vanilla Shake,15,108,100,23,0,No
2025-05-07,Chocolate Shake,25,3,28,0,68,Yes
2025-05-07,Banana Shake,0,64,64,0,10,Yes
2025-05-08,Vanilla Shake,23,12,35,0,98,Yes
2025-05-08,Chocolate Shake,0,1,1,0,92,Yes
2025-05-08,Banana Shake,0,63,58,5,0,No
2025-05-09,Vanilla Shake,0,118,118,0,23,Yes
2025-05-09,Chocolate Shake,0,100,81,19,0,No
2025-05-09,Banana Shake,5,55,60,0,12,Yes
2025-05-10,Vanilla Shake,0,5,5,0,134,Yes
2025-05-10,Chocolate Shake,19,90,109,0,1,Yes
2025-05-10,Banana Shake,0,65,57,8,0,No
2025-05-11,Vanilla Shake,0,104,102,2,0,No
2025-05-11,Chocolate Shake,0,99,91,8,0,No
2025-05-11,Banana Shake,8,58,66,0,11,Yes
2025-05-12,Vanilla Shake,2,109,111,0,21,Yes
2025-05-12,Chocolate Shake,8,93,101,0,15,Yes
2025-05-12,Banana Shake,0,55,55,0,19,Yes
2025-05-13,Vanilla Shake,0,103,103,0,12,Yes
2025-05-13,Chocolate Shake,0,24,24,0,69,Yes
2025-05-13,Banana Shake,0,56,56,0,11,Yes
2025-05-14,Vanilla Shake,0,13,13,0,131,Yes
2025-05-14,Chocolate Shake,0,17,17,0,97,Yes
2025-05-14,Banana Shake,0,59,59,0,11,Yes
2025-05-15,Vanilla Shake,0,104,104,0,28,Yes
2025-05-15,Chocolate Shake,0,105,81,24,0,No
2025-05-15,Banana Shake,0,12,12,0,61,Yes
2025-05-16,Vanilla Shake,0,106,106,0,6,Yes
2025-05-16,Chocolate Shake,24,97,102,19,0,No
2025-05-16,Banana Shake,0,57,57,0,0,Yes
2025-05-17,Vanilla Shake,0,22,22,0,106,Yes
2025-05-17,Chocolate Shake,19,14,33,0,62,Yes
2025-05-17,Banana Shake,0,56,56,0,3,Yes
2025-05-18,Vanilla Shake,0,122,122,0,1,Yes
2025-05-18,Chocolate Shake,0,104,104,0,7,Yes
2025-05-18,Banana Shake,0,4,4,0,70,Yes
2025-05-19,Vanilla Shake,0,113,113,0,14,Yes
2025-05-19,Chocolate Shake,0,107,107,0,13,Yes
2025-05-19,Banana Shake,0,66,66,0,3,Yes
2025-05-20,Vanilla Shake,0,9,9,0,99,Yes
2025-05-20,Chocolate Shake,0,90,90,0,13,Yes
2025-05-20,Banana Shake,0,61,61,0,11,Yes
2025-05-21,Vanilla Shake,0,109,109,0,2,Yes
2025-05-21,Chocolate Shake,0,21,21,0,97,Yes
2025-05-21,Banana Shake,0,8,8,0,55,Yes
2025-05-22,Vanilla Shake,0,105,105,0,22,Yes
2025-05-22,Chocolate Shake,0,104,97,7,0,No
2025-05-22,Banana Shake,0,58,58,0,2,Yes
2025-05-23,Vanilla Shake,0,110,110,0,10,Yes
2025-05-23,Chocolate Shake,7,100,81,26,0,No
2025-05-23,Banana Shake,0,15,15,0,39,Yes
2025-05-24,Vanilla Shake,0,32,32,0,94,Yes
2025-05-24,Chocolate Shake,26,1,27,0,76,Yes
2025-05-24,Banana Shake,0,61,61,0,5,Yes
2025-05-25,Vanilla Shake,0,115,110,5,0,No
2025-05-25,Chocolate Shake,0,104,104,0,13,Yes
2025-05-25,Banana Shake,0,66,54,12,0,No
2025-05-26,Vanilla Shake,5,116,121,0,6,Yes
2025-05-26,Chocolate Shake,0,0,0,0,97,Yes
2025-05-26,Banana Shake,12,61,68,5,0,No
2025-05-27,Vanilla Shake,0,111,111,0,31,Yes
2025-05-27,Chocolate Shake,0,101,83,18,0,No
2025-05-27,Banana Shake,5,18,23,0,53,Yes
2025-05-28,Vanilla Shake,0,106,106,0,20,Yes
2025-05-28,Chocolate Shake,18,100,104,14,0,No
2025-05-28,Banana Shake,0,65,65,0,3,Yes
2025-05-29,Vanilla Shake,0,112,112,0,4,Yes
2025-05-29,Chocolate Shake,14,95,94,15,0,No
2025-05-29,Banana Shake,0,65,65,0,8,Yes
2025-05-30,Vanilla Shake,0,111,111,0,18,Yes
2025-05-30,Chocolate Shake,15,14,29,0,58,Yes
2025-05-30,Banana Shake,0,62,62,0,12,Yes
2025-05-31,Vanilla Shake,0,119,119,0,11,Yes
2025-05-31,Chocolate Shake,0,8,8,0,101,Yes
2025-05-31,Banana Shake,0,57,57,0,2,Yes
2025-06-01,Vanilla Shake,0,113,113,0,10,Yes
2025-06-01,Chocolate Shake,0,104,104,0,12,Yes
2025-06-01,Banana Shake,0,60,60,0,2,Yes
2025-06-02,Vanilla Shake,0,112,112,0,7,Yes
2025-06-02,Chocolate Shake,0,94,94,0,17,Yes
2025-06-02,Banana Shake,0,65,65,0,4,Yes
2025-06-03,Vanilla Shake,0,103,103,0,27,Yes
2025-06-03,Chocolate Shake,0,98,98,0,9,Yes
2025-06-03,Banana Shake,0,67,67,0,6,Yes
2025-06-04,Vanilla Shake,0,122,118,4,0,No
2025-06-04,Chocolate Shake,0,98,87,11,0,No
2025-06-04,Banana Shake,0,59,59,0,0,Yes
2025-06-05,Vanilla Shake,4,117,121,0,12,Yes
2025-06-05,Chocolate Shake,11,107,92,26,0,No
2025-06-05,Banana Shake,0,58,58,0,12,Yes
2025-06-06,Vanilla Shake,0,111,111,0,10,Yes
2025-06-06,Chocolate Shake,26,94,116,4,0,No
2025-06-06,Banana Shake,0,65,65,0,5,Yes
2025-06-07,Vanilla Shake,0,109,98,11,0,No
2025-06-07,Chocolate Shake,4,9,13,0,98,Yes
2025-06-07,Banana Shake,0,55,55,0,2,Yes
2025-06-08,Vanilla Shake,11,0,11,0,123,Yes
2025-06-08,Chocolate Shake,0,100,100,0,11,Yes
2025-06-08,Banana Shake,0,56,56,0,4,Yes
2025-06-09,Vanilla Shake,0,121,112,9,0,No
2025-06-09,Chocolate Shake,0,90,90,0,13,Yes
2025-06-09,Banana Shake,0,58,58,0,4,Yes
2025-06-10,Vanilla Shake,9,107,97,19,0,No
2025-06-10,Chocolate Shake,0,101,83,18,0,No
2025-06-10,Banana Shake,0,56,55,1,0,No
2025-06-11,Vanilla Shake,19,123,103,39,0,No
2025-06-11,Chocolate Shake,18,100,81,37,0,No
2025-06-11,Banana Shake,1,58,59,0,6,Yes
