date,channel,spend,impressions,clicks,conversions,revenue
2025-01-14,Influencers,8883.26,113893,1667,63,17079.0
2025-01-15,Instagram,10000.53,159508,7459,970,42348.0
2025-01-15,Google,7740.35,159392,3961,533,20575.0
2025-01-15,Influencers,6750.51,131405,1229,38,12484.0
2025-01-16,Instagram,7370.71,136075,4219,707,39351.0
2025-01-16,Google,4861.86,51884,2212,286,18876.0
2025-01-16,Influencers,7665.43,74352,1101,31,16478.0
2025-01-17,Instagram,9390.84,252701,9772,1561,40050.0
2025-01-17,Google,9703.51,265019,6331,754,24668.0
2025-01-17,Influencers,9739.94,115036,1402,18,14382.0
2025-01-18,Instagram,5913.62,87285,5015,513,31859.0
2025-01-18,Google,9370.91,83186,3911,448,27567.0
2025-01-18,Influencers,9433.69,232704,2182,81,19374.0
2025-01-19,Instagram,9150.91,219924,10093,2018,36158.0
2025-01-19,Google,7111.92,79240,3260,315,21177.0
2025-01-19,Influencers,6228.23,208068,1505,41,12784.0
2025-01-20,Instagram,7804.8,190112,8379,1537,41149.0
2025-01-20,Google,11134.44,219182,6271,616,30765.0
2025-01-20,Influencers,8481.83,288928,2345,57,11484.0
2025-01-21,Instagram,8023.0,157196,8994,1004,39351.0
2025-01-21,Google,8580.89,123208,5620,423,25268.0
2025-01-21,Influencers,8206.51,346583,1807,32,15481.0
2025-01-22,Instagram,11645.37,256993,12709,2352,42147.0
2025-01-22,Google,5531.83,96287,2506,245,18175.0
2025-01-22,Influencers,10910.03,174691,2301,45,19177.0
2025-01-23,Instagram,10383.07,119419,6920,1090,37753.0
2025-01-23,Google,6345.31,112013,5275,621,21071.0
2025-01-23,Influencers,8250.61,122211,1661,18,13184.0
2025-01-24,Instagram,8002.57,110556,5213,737,38656.0
2025-01-24,Google,6521.77,186616,4887,581,22565.0
2025-01-24,Influencers,5957.48,106032,866,15,10387.0
2025-01-25,Instagram,7753.34,148531,8285,935,36856.0
2025-01-25,Google,6520.18,110512,4160,499,19776.0
2025-01-25,Influencers,6963.21,205547,1553,57,12686.0
2025-01-26,Instagram,8491.75,171661,8309,1370,34257.0
2025-01-26,Google,12019.31,120468,5043,529,31962.0
2025-01-26,Influencers,5950.05,126460,1274,15,12384.0
2025-01-27,Instagram,9639.22,156744,6196,817,47041.0
2025-01-27,Google,6713.09,127973,3140,263,18276.0
2025-01-27,Influencers,9382.45,275406,1386,22,15082.0
2025-01-28,Instagram,9552.97,92130,5518,769,35855.0
2025-01-28,Google,9219.73,133340,6581,637,25468.0
2025-01-28,Influencers,13690.99,501087,3626,103,18976.0
2025-01-29,Instagram,7924.28,158777,5094,870,38748.0
2025-01-29,Google,6774.0,135616,3307,311,20575.0
2025-01-29,Influencers,13847.08,357568,3277,80,18877.0
2025-01-30,Instagram,6657.12,90731,5063,979,36953.0
2025-01-30,Google,11386.37,165648,6679,423,29266.0
2025-01-30,Influencers,6577.65,108690,1594,62,13184.0
2025-01-31,Instagram,6421.36,202645,6307,718,34256.0
2025-01-31,Google,5241.02,52549,2258,280,16876.0
2025-01-31,Influencers,15415.26,346562,4353,132,20977.0
2025-02-01,Instagram,6090.93,95112,4109,459,33256.0
2025-02-01,Google,9510.46,99660,4632,410,34960.0
2025-02-01,Influencers,11071.24,278815,2694,34,17478.0
2025-02-02,Instagram,8476.42,210812,7243,1420,37354.0
2025-02-02,Google,5933.43,65151,2919,287,20975.0
2025-02-02,Influencers,13368.49,272945,3080,91,20673.0
2025-02-03,Instagram,13045.32,316846,13641,2162,49240.0
2025-02-03,Google,6975.46,117448,5469,705,17778.0
2025-02-03,Influencers,9588.43,322693,2374,40,14382.0
2025-02-04,Instagram,8066.66,122810,5949,1021,35955.0
2025-02-04,Google,7336.6,144196,4629,541,21573.0
2025-02-04,Influencers,12950.5,527185,2690,88,19674.0
2025-02-05,Instagram,7656.16,104340,5781,723,38351.0
2025-02-05,Google,10504.96,172949,5203,326,29965.0
2025-02-05,Influencers,6970.42,107150,1122,43,12584.0
2025-02-06,Instagram,9126.12,139825,5361,830,39356.0
2025-02-06,Google,7685.45,128834,4046,384,22070.0
2025-02-06,Influencers,8407.44,192799,1248,48,15981.0
2025-02-07,Instagram,6458.48,126118,5120,644,34555.0
2025-02-07,Google,12123.81,141910,5726,682,30564.0
2025-02-07,Influencers,11166.57,181889,1869,46,19275.0
2025-02-08,Instagram,7397.02,148790,6159,1167,36055.0
2025-02-08,Google,8930.4,145441,4751,610,25569.0
2025-02-08,Influencers,8032.5,153349,1900,52,17478.0
2025-02-09,Instagram,9878.56,203695,10018,1378,40052.0
2025-02-09,Google,7045.78,137761,3391,373,25168.0
2025-02-09,Influencers,9011.89,227656,2529,92,18577.0
2025-02-10,Instagram,11354.45,233830,13994,2610,43146.0
2025-02-10,Google,5406.37,77559,3163,241,20972.0
2025-02-10,Influencers,5516.93,107069,967,16,11787.0
2025-02-11,Instagram,9869.78,163591,9416,1605,39548.0
2025-02-11,Google,7930.24,90501,3339,234,22773.0
2025-02-11,Influencers,12477.72,198317,2525,28,17278.0
2025-02-12,Instagram,10037.92,134372,7464,1225,50739.0
2025-02-12,Google,6342.39,168176,4087,434,20374.0
2025-02-12,Influencers,8059.78,140301,1220,48,11086.0
2025-02-13,Instagram,10240.97,222632,7857,1479,40349.0
2025-02-13,Google,7152.9,87287,2913,199,25171.0
2025-02-13,Influencers,8604.66,207208,2058,75,17380.0
2025-02-14,Instagram,10391.92,222305,12575,2159,41150.0
2025-02-14,Google,8768.2,132013,5018,497,25268.0
2025-02-14,Influencers,10174.18,350756,1968,53,13882.0
2025-02-15,Instagram,9759.0,200919,10069,1324,37353.0
2025-02-15,Google,7684.35,78511,3152,308,21573.0
2025-02-15,Influencers,12026.89,309420,3067,67,18679.0
2025-02-16,Instagram,7580.52,83968,4424,795,37151.0
2025-02-16,Google,8637.72,192994,5969,583,23773.0
2025-02-16,Influencers,7989.24,112226,1672,66,16379.0
2025-02-17,Instagram,6361.19,165891,6782,1258,28069.0
2025-02-17,Google,6897.35,111882,3303,318,17380.0
2025-02-17,Influencers,6031.73,68043,894,21,12087.0
2025-02-18,Instagram,8206.88,118285,5386,751,43546.0
2025-02-18,Google,7033.94,101978,3038,273,21273.0
2025-02-18,Influencers,9101.01,225332,1972,78,12284.0
2025-02-19,Instagram,12292.95,177427,9124,1118,46344.0
2025-02-19,Google,7341.83,62083,3005,402,21174.0
2025-02-19,Influencers,11106.02,299082,1636,52,15880.0
2025-02-20,Instagram,7313.5,145105,4432,513,34257.0
2025-02-20,Google,11839.58,187897,4765,657,31063.0
2025-02-20,Influencers,7692.57,123643,1823,21,15980.0
2025-02-21,Instagram,10427.2,141842,8211,1493,46345.0
2025-02-21,Google,7431.93,110899,4981,392,22172.0
2025-02-21,Influencers,9888.51,138066,1723,31,15379.0
2025-02-22,Instagram,8643.91,127268,6472,941,35055.0
2025-02-22,Google,5077.12,78689,2647,207,18978.0
2025-02-22,Influencers,7825.95,146774,1640,22,16380.0
2025-02-23,Instagram,6249.36,100064,4297,762,29462.0
2025-02-23,Google,11068.76,125674,4676,464,33259.0
2025-02-23,Influencers,6694.26,177319,1069,40,14083.0
2025-02-24,Instagram,8177.79,125718,6107,611,39949.0
2025-02-24,Google,8679.52,133057,4867,580,24868.0
2025-02-24,Influencers,7359.42,345450,1970,31,14483.0
2025-02-25,Instagram,7650.36,94325,5320,1042,38653.0
2025-02-25,Google,5396.68,136985,3053,190,19873.0
2025-02-25,Influencers,11587.73,177043,1870,64,16482.0
2025-02-26,Instagram,12834.32,230881,10676,1931,46944.0
2025-02-26,Google,6903.58,88892,3465,262,20074.0
2025-02-26,Influencers,8965.3,305074,1935,62,16580.0
2025-02-27,Instagram,8196.82,190125,6750,1090,35560.0
2025-02-27,Google,7159.44,125126,3406,447,21577.0
2025-02-27,Influencers,5051.06,124968,1163,14,9489.0
2025-02-28,Instagram,8806.17,233776,7366,858,38950.0
2025-02-28,Google,8845.63,160549,3717,496,25568.0
2025-02-28,Influencers,17105.83,304362,3756,133,24573.0
2025-03-01,Instagram,12284.27,150988,7293,1365,50939.0
2025-03-01,Google,8195.27,135338,6135,842,32262.0
2025-03-01,Influencers,8815.28,307260,1700,54,14982.0
2025-03-02,Instagram,9729.7,300188,9350,1701,46142.0
2025-03-02,Google,8523.59,118422,5786,649,22574.0
2025-03-02,Influencers,13669.95,334278,2205,40,19976.0
2025-03-03,Instagram,10891.82,145512,7478,955,43647.0
2025-03-03,Google,7957.05,191818,5600,665,26968.0
2025-03-03,Influencers,11552.75,282289,2889,78,23374.0
2025-03-04,Instagram,9596.18,284271,8862,1643,43249.0
2025-03-04,Google,9031.19,94761,4045,494,28866.0
2025-03-04,Influencers,15931.71,332408,2988,87,21374.0
2025-03-05,Instagram,10813.69,214366,10920,2123,52037.0
2025-03-05,Google,7795.12,67462,3209,337,24072.0
2025-03-05,Influencers,8359.44,161343,1428,41,12984.0
2025-03-06,Instagram,9792.87,222138,6886,959,50940.0
2025-03-06,Google,12324.86,208230,7930,598,30863.0
2025-03-06,Influencers,9610.87,190912,1411,18,15180.0
2025-03-07,Instagram,12315.01,176709,6959,1231,48439.0
2025-03-07,Google,5522.65,55973,2357,299,19777.0
2025-03-07,Influencers,12631.36,395711,2990,31,21375.0
2025-03-08,Instagram,8706.35,225955,10758,1109,48142.0
2025-03-08,Google,10162.25,304431,7409,476,31164.0
2025-03-08,Influencers,7306.52,178513,1343,49,14181.0
2025-03-09,Instagram,10875.97,233114,10778,2079,44647.0
2025-03-09,Google,4518.6,145677,2975,382,16778.0
2025-03-09,Influencers,15385.69,391575,2772,31,25072.0
2025-03-10,Instagram,9855.81,264675,11108,2094,46943.0
2025-03-10,Google,7502.93,150680,4542,468,27469.0
2025-03-10,Influencers,14093.11,312673,2378,65,20276.0
2025-03-11,Instagram,9456.68,202725,6900,1173,42950.0
2025-03-11,Google,8186.16,124681,3331,332,24973.0
2025-03-11,Influencers,7631.47,130375,1328,30,15781.0
2025-03-12,Instagram,10720.4,129930,6399,1149,48044.0
2025-03-12,Google,12546.77,151048,5437,724,32260.0
2025-03-12,Influencers,11922.33,190901,2641,84,16780.0
2025-03-13,Instagram,10493.69,123339,6673,1283,43049.0
2025-03-13,Google,13192.34,179705,6557,505,37055.0
2025-03-13,Influencers,15552.85,377555,2514,55,21373.0
2025-03-14,Instagram,8269.12,107092,5836,849,40550.0
2025-03-14,Google,8177.23,88617,4318,332,22174.0
2025-03-14,Influencers,12739.97,192789,2531,67,20775.0
2025-03-15,Instagram,8248.16,170515,7815,1015,43147.0
2025-03-15,Google,7641.71,114969,3725,499,28469.0
2025-03-15,Influencers,12116.46,519542,2918,94,19776.0
2025-03-16,Instagram,11565.5,245264,13540,1914,51037.0
2025-03-16,Google,8453.04,159481,5003,680,22272.0
2025-03-16,Influencers,9021.43,346453,2437,95,13983.0
2025-03-17,Instagram,12749.95,249977,14017,1426,46341.0
2025-03-17,Google,7563.95,96858,3448,323,26670.0
2025-03-17,Influencers,13350.62,193000,2812,82,18577.0
2025-03-18,Instagram,11721.57,144525,8390,1054,53434.0
2025-03-18,Google,9686.53,106947,4783,530,26868.0
2025-03-18,Influencers,13287.35,273602,2313,69,20275.0
2025-03-19,Instagram,13026.88,204818,10796,1339,49538.0
2025-03-19,Google,10043.75,149581,4545,370,31065.0
2025-03-19,Influencers,13389.98,222028,3017,39,17879.0
2025-03-20,Instagram,9549.15,113878,5398,792,44946.0
2025-03-20,Google,8771.62,155153,4969,679,29463.0
2025-03-20,Influencers,19373.93,366735,5308,173,27268.0
2025-03-21,Instagram,6600.22,110139,6161,982,35960.0
2025-03-21,Google,7410.08,161072,3383,286,18779.0
2025-03-21,Influencers,7795.36,128387,1279,34,14484.0
2025-03-22,Instagram,12453.1,245254,8519,1195,50540.0
2025-03-22,Google,8749.94,112093,5373,618,21974.0
2025-03-22,Influencers,12770.03,175490,2003,21,17977.0
2025-03-23,Instagram,10770.24,187998,9976,1429,49242.0
2025-03-23,Google,10426.97,114622,4321,343,29264.0
2025-03-23,Influencers,7278.42,316900,2049,70,9788.0
2025-03-24,Instagram,10185.92,308125,9978,1126,47239.0
2025-03-24,Google,12492.26,148334,7007,733,31464.0
2025-03-24,Influencers,13332.65,405456,3381,112,19978.0
2025-03-25,Instagram,14975.79,338081,14008,2550,57230.0
2025-03-25,Google,6566.37,147302,3378,287,19675.0
2025-03-25,Influencers,11166.73,176789,2555,66,19679.0
2025-03-26,Instagram,10667.77,149509,8040,961,45346.0
2025-03-26,Google,8732.81,112066,4763,503,27467.0
2025-03-26,Influencers,9568.43,182637,1557,35,14083.0
2025-03-27,Instagram,8184.25,190391,5999,881,37853.0
2025-03-27,Google,9025.29,136726,3812,519,32861.0
2025-03-27,Influencers,9777.75,164280,1522,44,15483.0
2025-03-28,Instagram,11034.87,271583,8709,873,50141.0
2025-03-28,Google,11615.47,176251,5296,493,32461.0
2025-03-28,Influencers,8070.77,90136,1300,41,15480.0
2025-03-29,Instagram,12759.38,335084,10332,1901,47844.0
2025-03-29,Google,6074.28,138349,3258,228,23168.0
2025-03-29,Influencers,8137.95,151825,2203,81,11188.0
2025-03-30,Instagram,10093.14,156992,5609,1025,38751.0
2025-03-30,Google,9228.88,246637,6317,690,28467.0
2025-03-30,Influencers,9730.85,144981,2068,53,18278.0
2025-03-31,Instagram,7855.58,108587,6121,661,41251.0
2025-03-31,Google,7438.45,142441,4723,358,28465.0
2025-03-31,Influencers,9875.87,153638,1680,18,18477.0
2025-04-01,Instagram,11790.68,190798,7350,739,43547.0
2025-04-01,Google,7300.52,121329,3073,277,24568.0
2025-04-01,Influencers,13821.23,395731,2322,78,20976.0
2025-04-02,Instagram,9982.62,153121,5683,873,46641.0
2025-04-02,Google,8556.76,139757,5897,357,23972.0
2025-04-02,Influencers,15983.35,484351,4120,43,21574.0
2025-04-03,Instagram,8934.12,192282,8851,1249,48938.0
2025-04-03,Google,10237.35,292224,7909,1063,28167.0
2025-04-03,Influencers,13001.43,278026,2087,80,22871.0
2025-04-04,Instagram,13489.25,158407,7698,1253,48445.0
2025-04-04,Google,5844.62,89322,4431,342,22472.0
2025-04-04,Influencers,14194.25,372813,2094,71,21176.0
2025-04-05,Instagram,11173.03,257564,13394,1419,47145.0
2025-04-05,Google,6596.94,83624,3655,479,21873.0
2025-04-05,Influencers,13287.12,146641,2091,36,20776.0
2025-04-06,Instagram,9647.44,110577,5904,843,48241.0
2025-04-06,Google,8874.93,98129,3832,318,31464.0
2025-04-06,Influencers,8375.22,247084,1810,56,17879.0
2025-04-07,Instagram,10711.41,227015,7960,1204,44547.0
2025-04-07,Google,11033.34,175306,6145,614,29164.0
2025-04-07,Influencers,14863.23,240801,2545,26,27766.0
2025-04-08,Instagram,11660.33,212761,10640,1960,44546.0
2025-04-08,Google,11257.83,153512,5398,327,30762.0
2025-04-08,Influencers,15076.38,269639,3400,121,27269.0
2025-04-09,Instagram,11593.15,211648,10815,1225,49339.0
2025-04-09,Google,13194.39,128837,5439,509,34957.0
2025-04-09,Influencers,8348.32,95598,1290,18,15982.0
2025-04-10,Instagram,13499.06,154451,8346,1135,54036.0
2025-04-10,Google,10811.77,120699,5406,751,34059.0
2025-04-10,Influencers,11852.9,297756,2385,75,16480.0
2025-04-11,Instagram,12588.11,167705,9690,1382,47644.0
2025-04-11,Google,9186.29,136856,3724,455,32460.0
2025-04-11,Influencers,12297.87,203397,2442,46,17379.0
2025-04-12,Instagram,9310.01,206305,9427,1880,47142.0
2025-04-12,Google,8821.58,102267,4104,547,31163.0
2025-04-12,Influencers,16033.4,400273,2813,62,25269.0
2025-04-13,Instagram,14718.56,343261,10469,2064,53736.0
2025-04-13,Google,9556.37,217816,5189,444,37358.0
2025-04-13,Influencers,12358.08,257285,3126,65,21272.0
2025-04-14,Instagram,14284.25,167800,8579,1130,51739.0
2025-04-14,Google,8193.2,151575,3472,228,32062.0
2025-04-14,Influencers,11377.15,154861,1976,51,20674.0
2025-04-15,Instagram,12285.75,263271,12752,1608,55530.0
2025-04-15,Google,12053.37,227260,7452,818,40854.0
2025-04-15,Influencers,15468.19,267765,2447,41,27967.0
2025-04-16,Instagram,11655.9,376827,11809,1574,55034.0
2025-04-16,Google,11529.41,207448,6749,870,30962.0
2025-04-16,Influencers,16075.42,390063,3058,119,23974.0
2025-04-17,Instagram,15057.71,237119,9134,1783,61926.0
2025-04-17,Google,11927.16,181652,7366,516,32663.0
2025-04-17,Influencers,13408.63,397833,2481,60,26667.0
2025-04-18,Instagram,11320.28,244484,13747,1629,45946.0
2025-04-18,Google,9770.16,140845,6813,889,32262.0
2025-04-18,Influencers,13760.37,264143,3077,76,25870.0
2025-04-19,Instagram,16382.8,339820,11744,1866,65622.0
2025-04-19,Google,7805.52,136714,6323,442,28866.0
2025-04-19,Influencers,17419.38,252928,3308,33,27169.0
2025-04-20,Instagram,15205.55,143175,8548,1302,63824.0
2025-04-20,Google,11518.21,120346,5601,367,40352.0
2025-04-20,Influencers,8579.8,92248,1264,39,17777.0
2025-04-21,Instagram,13539.36,128906,7699,1164,60330.0
2025-04-21,Google,9914.82,150653,6426,533,29964.0
2025-04-21,Influencers,11290.29,217830,2627,72,15382.0
2025-04-22,Instagram,11555.08,237623,11089,1556,64125.0
2025-04-22,Google,10067.65,210631,5286,505,27666.0
2025-04-22,Influencers,15271.97,171078,2520,39,21973.0
2025-04-23,Instagram,13443.87,315229,10866,1409,49541.0
2025-04-23,Google,11213.18,287189,7235,769,28464.0
2025-04-23,Influencers,17641.35,319531,4423,88,24471.0
2025-04-24,Instagram,9403.83,189559,9732,1274,50740.0
2025-04-24,Google,11177.12,240989,9263,952,29465.0
2025-04-24,Influencers,9555.85,130316,1817,27,19975.0
2025-04-25,Instagram,9833.31,138535,6979,1215,41551.0
2025-04-25,Google,10117.44,170498,4364,278,30763.0
2025-04-25,Influencers,11210.82,135467,1869,65,19876.0
2025-04-26,Instagram,11367.51,119741,6436,969,44745.0
2025-04-26,Google,8272.97,118362,3434,339,25968.0
2025-04-26,Influencers,11328.5,211611,3080,108,19575.0
2025-04-27,Instagram,10400.27,227271,7214,830,51036.0
2025-04-27,Google,9294.5,94945,3901,235,30665.0
2025-04-27,Influencers,13639.17,153738,2020,31,21274.0
2025-04-28,Instagram,9860.23,166512,9566,1382,44448.0
2025-04-28,Google,10213.24,199009,8143,914,31263.0
2025-04-28,Influencers,16438.37,734354,4539,61,22673.0
2025-04-29,Instagram,13391.72,149673,8667,1376,60326.0
2025-04-29,Google,8894.24,231601,6550,538,26168.0
2025-04-29,Influencers,7721.11,155087,1293,30,16881.0
2025-04-30,Instagram,8730.94,193210,7060,887,40955.0
2025-04-30,Google,9330.24,133380,4923,301,26171.0
2025-04-30,Influencers,10525.51,216967,1594,43,18781.0
2025-05-01,Instagram,13485.29,150532,8193,1346,54133.0
2025-05-01,Google,11366.93,148858,7110,434,29167.0
2025-05-01,Influencers,13434.07,297857,2970,66,20376.0
2025-05-02,Instagram,10099.94,172869,9053,1556,54836.0
2025-05-02,Google,12893.42,239965,5283,484,35757.0
2025-05-02,Influencers,9766.43,165333,1858,46,19577.0
2025-05-03,Instagram,9176.79,151624,7563,989,42351.0
2025-05-03,Google,9752.62,141707,4431,331,29561.0
2025-05-03,Influencers,18555.12,338950,3685,147,25769.0
2025-05-04,Instagram,10963.38,131935,7859,1058,41251.0
2025-05-04,Google,9259.8,243336,7160,992,31662.0
2025-05-04,Influencers,10134.8,131406,1541,30,18776.0
2025-05-05,Instagram,10809.31,226445,7643,834,49741.0
2025-05-05,Google,9597.02,145084,5038,394,28768.0
2025-05-05,Influencers,13916.49,182691,2356,41,23172.0
2025-05-06,Instagram,14768.98,223505,9950,1116,53736.0
2025-05-06,Google,10249.82,189041,6816,626,28666.0
2025-05-06,Influencers,16763.49,418872,2918,52,25372.0
2025-05-07,Instagram,7253.74,129125,4343,435,37754.0
2025-05-07,Google,8588.29,127031,5567,380,24869.0
2025-05-07,Influencers,15829.7,395452,3069,35,22077.0
2025-05-08,Instagram,14622.39,158531,8144,963,54135.0
2025-05-08,Google,5357.36,75483,2340,207,18677.0
2025-05-08,Influencers,9174.09,477501,2554,51,14482.0
2025-05-09,Instagram,7545.96,84499,5062,758,35960.0
2025-05-09,Google,5843.54,85693,3320,335,15680.0
2025-05-09,Influencers,7428.36,111412,1203,42,11584.0
2025-05-10,Instagram,7467.98,105248,5639,710,37953.0
2025-05-10,Google,5930.11,96586,2455,317,21772.0
2025-05-10,Influencers,8613.54,141546,1612,29,13983.0
2025-05-11,Instagram,10448.15,190676,9426,1376,42152.0
2025-05-11,Google,8838.8,229513,6391,676,24373.0
2025-05-11,Influencers,15315.15,379070,2846,85,20674.0
2025-05-12,Instagram,9767.55,157313,8692,1060,41850.0
2025-05-12,Google,13434.63,164134,6045,568,38456.0
2025-05-12,Influencers,6823.29,95109,1041,27,13283.0
2025-05-13,Instagram,7029.26,123676,5377,624,30563.0
2025-05-13,Google,7466.36,201174,6118,715,21673.0
2025-05-13,Influencers,12103.48,390134,2307,71,16181.0
2025-05-14,Instagram,10961.72,147781,7266,1384,45547.0
2025-05-14,Google,10333.23,206002,4380,297,28064.0
2025-05-14,Influencers,13868.88,224421,2358,32,18876.0
2025-05-15,Instagram,7829.46,174794,9049,1667,42748.0
2025-05-15,Google,8897.75,83356,3906,328,22771.0
2025-05-15,Influencers,17568.66,385859,4858,142,24672.0
2025-05-16,Instagram,11136.16,207055,12354,1750,48043.0
2025-05-16,Google,8439.38,215718,6329,691,23169.0
2025-05-16,Influencers,12278.57,130377,1907,45,20176.0
2025-05-17,Instagram,11845.83,239639,10481,1946,45445.0
2025-05-17,Google,7480.59,204703,4111,428,26570.0
2025-05-17,Influencers,4602.21,70886,774,16,9288.0
2025-05-18,Instagram,8396.12,128171,6203,1230,41951.0
2025-05-18,Google,9017.74,150801,5818,454,26069.0
2025-05-18,Influencers,14234.56,333566,4024,79,20875.0
2025-05-19,Instagram,7145.98,97681,4347,661,35756.0
2025-05-19,Google,9524.25,96803,4774,393,32958.0
2025-05-19,Influencers,13296.3,208068,2195,22,21775.0
2025-05-20,Instagram,9525.6,275611,9864,996,46744.0
2025-05-20,Google,10844.36,140982,4803,559,27867.0
2025-05-20,Influencers,15692.8,611652,3440,82,22171.0
2025-05-21,Instagram,12530.64,187191,6997,1079,49439.0
2025-05-21,Google,9088.71,161026,4885,627,27266.0
2025-05-21,Influencers,7594.73,162003,1676,66,12483.0
2025-05-22,Instagram,10276.62,125448,6597,1158,50241.0
2025-05-22,Google,10153.65,209934,7971,1048,25568.0
2025-05-22,Influencers,10682.71,143920,2101,52,17680.0
2025-05-23,Instagram,9572.67,153724,6415,1027,41247.0
2025-05-23,Google,10197.14,152510,5065,513,30364.0
2025-05-23,Influencers,8736.9,314019,2251,42,14982.0
2025-05-24,Instagram,9410.55,234958,9001,1270,38355.0
2025-05-24,Google,8057.8,169460,4845,465,25868.0
2025-05-24,Influencers,12926.85,390143,2415,83,19975.0
2025-05-25,Instagram,10222.78,249586,11184,2085,49241.0
2025-05-25,Google,10216.18,102546,5065,451,26769.0
2025-05-25,Influencers,7800.8,139095,1252,49,15780.0
2025-05-26,Instagram,11150.72,140593,7847,1038,45948.0
2025-05-26,Google,4483.22,76557,3033,194,16879.0
2025-05-26,Influencers,10474.79,217690,1862,56,22073.0
2025-05-27,Instagram,9173.57,154647,7308,902,39453.0
2025-05-27,Google,12888.83,213617,8168,556,35956.0
2025-05-27,Influencers,8433.6,151408,1981,59,13485.0
2025-05-28,Instagram,11684.25,247587,8215,1569,46743.0
2025-05-28,Google,8307.08,106274,4232,560,28569.0
2025-05-28,Influencers,7694.68,175689,1643,24,13283.0
2025-05-29,Instagram,7468.95,228983,8973,1743,38754.0
2025-05-29,Google,5942.77,81706,3457,291,18876.0
2025-05-29,Influencers,14738.53,207613,2138,58,19977.0
2025-05-30,Instagram,7271.83,119048,4882,559,37154.0
2025-05-30,Google,10282.4,142603,6358,521,38851.0
2025-05-30,Influencers,14054.76,215256,2092,35,18977.0
2025-05-31,Instagram,9384.23,233977,11496,1319,47843.0
2025-05-31,Google,11743.51,121783,5279,394,29565.0
2025-05-31,Influencers,10180.27,203224,2169,22,17678.0
2025-06-01,Instagram,11977.16,266326,11975,1977,43648.0
2025-06-01,Google,6516.66,153379,5256,567,24672.0
2025-06-01,Influencers,14146.05,421206,3346,125,21075.0
2025-06-02,Instagram,11343.45,165045,9626,1538,40951.0
2025-06-02,Google,5857.05,99759,3823,385,23070.0
2025-06-02,Influencers,11022.98,212622,3104,76,17278.0
2025-06-03,Instagram,8441.62,98202,5095,560,41151.0
2025-06-03,Google,9620.14,87066,4298,311,24172.0
2025-06-03,Influencers,6867.9,144188,1019,38,11185.0
2025-06-04,Instagram,9430.52,98439,5854,1043,45446.0
2025-06-04,Google,7584.97,109527,4735,599,21875.0
2025-06-04,Influencers,10433.0,169656,2499,97,17280.0
2025-06-05,Instagram,7756.12,117914,4634,695,36758.0
2025-06-05,Google,7255.72,191477,5210,609,26768.0
2025-06-05,Influencers,10581.82,231043,2515,46,15581.0
2025-06-06,Instagram,7733.27,181353,6423,1119,42651.0
2025-06-06,Google,6778.45,115420,4024,491,26767.0
2025-06-06,Influencers,8381.29,101874,1368,44,13082.0
2025-06-07,Instagram,10070.4,178975,5902,640,43049.0
